"nodegoat ID","Object ID",Name
ngOV0G28aOFG5PbO2OH03dlXpOi,12414802,Evanthes
ngNU0F18zNUF3OaZ1O29yckeoNh,12414801,Myskellos
ngIP2I28uIfA3JvW2JR05xfBjJc,12380922,"Schol. Plato"
ngAH9u28mBnS7Bnq2Az0npxPbBO,12035292,Theseus
ngVC0Z98hVMNhWip9VE73ksAwGJ,12042309,"Nikander of Kolophon"
ngOV8e08aObG4PbS0PH83dlBpPC,12042380,"Xenophanes of Kolophon"
ngVC6D18hVCN4WiV1VO9gksmwWp,12150561,Ailianos
ngYF6G48kZvQ8ZlU4Yx2lnvpzYs,12150564,Alkidamas
ngZG6H58lAGR7AmV5ZS3jowEaBN,12150565,"Alexander of Aetolia"
ngBI6r78nDST0CoN7BK5oqyCcCv,12150567,Anakreon
ngIP7c48uIZA6JvW4I525xfBjJc,12150574,Herodotos
ngOV8e08aObG5PbW0O18zdljpQC,12150580,Iamblichos
ngQX8g28cQnI5Rdo2Q30cfnprQk,12150582,Isokrates
ngWD8u88iYDO3XjE8XP63ltBxYK,12150588,Libanios
ngXE8v98jZOP2YkF9Xw72muUyXL,12150589,Lykourgos
ngZG9x18lAwR4AmV1BS9kowMaBN,12150591,"Maximus of Tyre"
ngBI9v38nCIT8Cov3B415qyUcCv,12150593,Menodotos
ngDK9x58pDqV0Eqt5EM36saAeFR,12150595,Mimnermos
ngGN9e88sGXYrHtY8Hf6rvdVhIU,12150598,"Nikolaos of Damaskos"
ngNU0F18zNUF6OaN1NW9ackioPB,12150601,Oppianos
ngQX0k48cRdIaRdE4Q52bfnNrBE,12150604,Parthenios
ngTA0L78fTgL0Ugr7Us58iqYuTH,12150607,Pherekydes
ngWD1S08iWjOhXjO0X180ltBxHK,12150610,Philostratos
ngBI1N58nBIT9CoX5Ca3lqyGcMP,12150615,Polyainos
ngFM1B98rGsXqGsX9GO7sucYgGz,12150619,Pseudo-Apollodoros
ngGN2C08sHdYqHtC0H18tvdbhHU,12150620,Pseudo-Herodotos
ngNU2F78zPEF7OaN7Nm5ackeoNh,12150627,"Schol. Kallim."
ngQX3M08cRHI1Rdg0R18bfnFrRE,12150630,"Schol. Nikandr."
ngTA3P38fTALgUgB3TM1fiqIuUH,12150633,"Simonides of Keos"
ngAH4E08mBnSnBnO0CJ82pxXbBO,12150640,Theokritos
ngCJ4C28oDpU4DpC2CV0nrzHdDQ,12150642,Theopompos
ngEL4E48qFLW6FrS4FN26tbTfGS,12150644,"Ioannes Tzetzes"
ngKR5W08wKhC2LxK0Lj81zhblLe,12150650,Zenobios
ngYF6G48kZlQiZlY4Z52invDzZM,12336564,"Apollonios of Rhodes"
ngLS5X18xLSD2MyX1MU9vaiQmMZ,12150651,"Zopyros of Magnesia"
ngMT5Y28yMDEzNzA2MV0ybjRnMA,12150652,Zosimos
ngQX5C68cRXIcRdI6R74afnhrRk,12336556,"Aethlios of Samos"
ngPW0n38bQWH5Qcj3QI14emMqAD,12336603,Lykophron
ngMT0E08yMjEzNzM0Nl82bjBnMA,12336600,Herodoros
ngGN9a88sINY2HtU8G968vdDhGU,12336598,Hellanikos
ngCJ9w48oDJUoDpK4D526rzDdDw,12336594,"Eumelos of Korinth"
ngZG9x18lAwR6AmN1Ay96owOaAN,12336591,Ephoros
ngYF9w08kZlQ5Zls0YH81nvDzAM,12336590,"Douris of Samos"
ngXE8v98jZEPhYkF9ZQ7jmuMyZL,12336589,"Dionysios of Halikarnassos"
ngSZ8q48eTZK5Tfm4UB2chpTtTm,12336584,Demokritos
ngQX8g28cQnI4RdE2R30cfnprQk,12336582,"Clemens of Alexandria"
ngPW8f18bPcHaQcX1RI92emMqRD,12336581,Klearchos
ngNU7d98zOUFaOaR9Nm71ckGoOh,12336579,Kallisthenes
ngMT7Y88yODEwNzI8OF60bjRnNA,12336578,"Kallinos of Ephesos"
ngLS7X78xNSDwMyL7NE5vaikmMf,12336577,Kallimachos
ngHO7b38tHOZuIuH3Ig15weWiJV,12336573,"Asklepiades of Samos"
ngCJ6s88oDpU2DpO8D968rzDdDw,12336568,"Aristoboulos of Kassandreia"
ngBI6r78nDST2CoF7CU5nqyCcBv,12336567,"Aristarchos of Samothrake"
ngZG6H58lAGR0AmL5Zy35owAaZt,12336565,Aratos
ngVC8t78hVsNiWiR7XO5hksIwWJ,12336587,"Diogenes Laertios"
ngDK6t98pEqVqEqR9E07nsaMeDx,12378469,Photios
ngTA0L78fUKLeUgX7U85eiqMuUn,12336607,Timotheos
ngDK1Z78pFKVnEqL7FW50saEeDx,12411817,Solinos
ngSZ0K68eTJK8Tfq6UL46hpFtTG,12336606,"Stephanos of Byzantion"
ngJQ7z58vJQBvKwd5LC3vygOkLX,12336575,Athenaios
ngIP7c48uIZAuJvU4Ih2txfFjJW,12336574,Asios
ngVC6D18hVCNiWip1V293ksuwWp,12336561,"Antipater of Thessalonika"
ngSZ5E88eSfKcTfS8S96chpHtTG,12336558,Antimachos
ngVC0V98hViN4WiD9WE74ksIwGJ,12150609,Philostephanos
ngFM9d78rFWX2GsX7FY50ucagGT,12336597,Eustathios
ngHO9b98tJYZ2IuD9Ig73weEiIV,12336599,"Herakleides Pontikos"
ngUB0M88gUrM1VhQ8VN63jrpvVI,12150608,"Philiskos of Miletos"
ngFM9d78rFWX2GsN7FY52ucKgHT,12370097,Aischylos
ngRY8h38dRYJ4SeR3RK15goGsRF,12336583,"Klytos of Miletos"
ngOV8e08aPFGaPbA0PX85dlTpOC,12336580,"Kastor of Rhodos"
ngZG9x18lAmRmAmR1ZS93owEaZN,11945191,Herodotos
ngDK6t98pEqV9Eqt9DW79saEeDx,12150569,Hekataios
ngUB8s68gUhM8VhY6VN4gjrlvVo,12150586,Kreophylos
ngDK9x58pEUVpEqV5FM3qsaWeEx,12398495,Androklos
ngTA0L78fUKLdUgB7U858iqouTH,12411807,"St. Jerome"
ngCJ9w48oDJUpDpY4D528rzHdEQ,12398494,Neileus
ngFM1B98rGcX2GsN9FO71ucKgFT,12380919,"Schol. Hom. Il"
ngXE3B78jXuPiYkB7Y852muMyZL,12150637,Suda
ngHO2H18tHuZ2IuD1HQ92weMiIV,12375121,"Etymologicum Magnum"
ngFM1B98rGcX2GsJ9FO72ucegFz,12375119,"Ekloge Historion"
ngRY8h38dRYJ6SeF3SA1dgoWsRF,12150583,Kadmos
ngAH6I68mBRS0Bnu6BJ48pxNbAO,12336566,Aristainetos
ngJQ7z58vJAB0KwR5JC37ygikKd,12150575,Heropythos
ngBI9v38nCyToCoB3CU1nqyYcCP,12336593,Erxias
ngIP7y48uKPA9JvW4KB25xfVjJW,12042374,Panyassis
ngOV0G28aOFG4Pbe2P307dlPpPi,12336602,Kleitophon
ngSZ0K68eTZK6TfW6UL49hpHtSG,12042306,"Ion of Chios"
ngQX0k48cRHI9RdQ4SJ2dfnNrBE,12336604,Maiandrios/Laeandrios
ngRY5D78dSIJcSeV7RK58goKsRl,12336557,"Andron of Halikarnassos"
ngTA5B98fTgL0UgF9U072iqGuVH,12336559,"Antipater of Sidon"
ngWD6E28iWNO6XjW2Wv02ltrxXK,12336562,"Antoninus Liberalis"
ngXE6F38jZOPiYkB3Yw1kmuKyXL,12336563,"Apollodoros of Athens"
ngDK6t98pEqVpEqx9D079saIeDR,12336569,Aristokritos
ngEL7u08qFbWqFrS0GX84tbFfFy,12336570,Aristotle
ngFM7z18rFsX2GsB1FY93ucKgHT,12336571,Armenidas
ngGN7a28sGdY2HtY2G30tvdfhHa,12336572,Arrian
ngKR7a68wKBCwLxC6Kj49zhLlKe,12336576,Bias
ngTA8r58fUKL6UgL5Ts3giqUuUn,12336585,Demon
