nodegoat ID,Object ID,Name,Region,[GPS Location] Geometry
ngAH1M48mAnSmBxWkAJ27pxNbLO,12042214,Chios,Aegean Islands,"{""type"": ""GeometryCollection"", ""geometries"": [{""type"": ""Polygon"", ""coordinates"": [[[26.049270629882812, 38.5937971957727], [26.032791137695305, 38.59326051987162], [26.0101318359375, 38.60292007223949], [25.9991455078125, 38.60560305052739], [25.990219116210934, 38.599163734120175], [25.96275329589843, 38.59701716692643], [25.934600830078125, 38.591113776147445], [25.902328491210938, 38.59004038021371], [25.870056152343754, 38.58843025622397], [25.8453369140625, 38.57662157707258], [25.839157104492188, 38.55997877925585], [25.830230712890618, 38.55460931253295], [25.83091735839844, 38.541720956040386], [25.838470458984375, 38.53420168131867], [25.8453369140625, 38.52668162061619], [25.846710205078125, 38.50895265368144], [25.858383178710934, 38.495518711354016], [25.879669189453125, 38.4783196091326], [25.90164184570312, 38.47348162207644], [25.91949462890625, 38.46703046764414], [25.94078063964844, 38.45735265386234], [25.951080322265618, 38.44229569599777], [25.95245361328125, 38.42831142210914], [25.949707031250004, 38.41809043216555], [25.980606079101555, 38.387418785083405], [25.99296569824219, 38.36534867623901], [25.994338989257812, 38.344887442462806], [25.977859497070312, 38.33734763569314], [25.970993041992188, 38.324420427006544], [25.96549987792969, 38.31741722616916], [25.962066650390625, 38.30394763084892], [25.94764709472656, 38.298559092254344], [25.920181274414066, 38.30394763084892], [25.898895263671875, 38.29101446582335], [25.884475708007812, 38.279157039458326], [25.866622924804688, 38.26621945628273], [25.86318969726562, 38.250583468289534], [25.867309570312496, 38.240337375904566], [25.87486267089843, 38.24573023613531], [25.88172912597656, 38.24087667992996], [25.8892822265625, 38.23332605954002], [25.891342163085938, 38.21714351862661], [25.91331481933594, 38.20581359813473], [25.93048095703125, 38.194481913956864], [25.951080322265618, 38.18692647809604], [25.96755981445312, 38.17235306715556], [25.98335266113281, 38.161016176890456], [26.001892089843746, 38.156156969924915], [26.01150512695312, 38.15129743915324], [26.021804809570312, 38.161556068786886], [26.026611328124996, 38.17613163876633], [26.030731201171875, 38.187466178077905], [26.043090820312504, 38.20365531807149], [26.066436767578125, 38.205274034117814], [26.0870361328125, 38.20635315815237], [26.096649169921875, 38.20689271417069], [26.10694885253906, 38.21714351862661], [26.11312866210937, 38.23494411562881], [26.103515625, 38.250583468289534], [26.10420227050781, 38.263523836350664], [26.106262207031246, 38.27700093565902], [26.128921508789062, 38.28939765810317], [26.14471435546875, 38.29909796412488], [26.155014038085938, 38.30286995515005], [26.159133911132816, 38.30825817353996], [26.158447265625, 38.314723507247336], [26.157073974609375, 38.32011084501538], [26.162567138671875, 38.32819110107818], [26.14608764648437, 38.34165619279595], [26.14471435546875, 38.36911722018497], [26.137847900390625, 38.39280071714613], [26.13922119140625, 38.42669767774884], [26.14608764648437, 38.44713577508245], [26.155014038085938, 38.46864331036051], [26.135787963867188, 38.48154475346391], [26.136474609375004, 38.48745714328253], [26.14608764648437, 38.49498130154396], [26.14952087402344, 38.50357937743225], [26.151580810546875, 38.52077245013413], [26.159820556640625, 38.531516035578434], [26.159820556640625, 38.55246141354153], [26.14540100097656, 38.559441850632474], [26.12960815429688, 38.566958486358565], [26.12686157226562, 38.55890491799819], [26.114501953125, 38.55407234380121], [26.101455688476562, 38.558367981352994], [26.08978271484375, 38.558367981352994], [26.078109741210938, 38.57393751557591], [26.06849670410156, 38.58467315983427], [26.06300354003906, 38.59487053553886], [26.049270629882812, 38.5937971957727]]]}]}"
ngBI1J58nByT8CyzlB636qyOcMP,12042215,Didyma,Ionia,"{""type"": ""Point"", ""coordinates"": [27.256115000000005, 37.384829]}"
ngUB3Y48gVBM8VrCeVt2gjrZvUI,12042234,Erythrai,Ionia,"{""type"": ""Point"", ""coordinates"": [26.47994, 38.382361]}"
ngVC3Z58hWMN9WslfXO30ksOwWp,12042235,Heraion of Samos,Aegean Islands,"{""type"": ""Point"", ""coordinates"": [26.889223333333, 37.672878333333]}"
ngXE3B78jXuP1YuFhZQ50muMyZL,12042237,Iasos,Karia,"{""type"": ""Point"", ""coordinates"": [27.585075, 37.278837]}"
ngZG3D98lBGRkAwxjAS7mowEaBN,12042239,Klaros,Ionia,"{""type"": ""Point"", ""coordinates"": [27.192966314833996, 38.004732411706]}"
ngAH4E08mCRSlBxukBz80pxFbAO,12042240,Kolophon,Ionia,"{""type"": ""Point"", ""coordinates"": [27.1483085, 38.108253]}"
ngBI4F18nCyTmCyFlDK9mqyUcCv,12042241,Lebedos,Ionia,"{""type"": ""Point"", ""coordinates"": [26.964722, 38.077883]}"
ngFM4F58rFsX8GcTpG63rucCgFT,12042245,Myous,Ionia,"{""type"": ""Point"", ""coordinates"": [27.433117, 37.595252]}"
ngGN4K68sGNYrHdUqH74qvdxhGa,12042246,Notion,Ionia,"{""type"": ""Point"", ""coordinates"": [27.200852, 37.9952785]}"
ngLS5X18xLSDwMijvNE9vaigmMZ,12042251,Panionion - Otomatik Tepe,Ionia,"{""type"": ""Point"", ""coordinates"": [27.280208, 37.707373]}"
