nodegoat ID,Object ID,Name,Traveller Type
ngCJ9w48oDJUpDpY4D528rzHdEQ,12398494,Neileus,Traveller: mythical
ngDK9x58pEUVpEqV5FM3qsaWeEx,12398495,Androklos,Traveller: mythical
ngTA0L78fUKLdUgB7U858iqouTH,12411807,St. Jerome,Author
ngDK1Z78pFKVnEqL7FW50saEeDx,12411817,Solinos,Author
ngNU0F18zNUF3OaZ1O29yckeoNh,12414801,Myskellos,Traveller: mythical
ngOV0G28aOFG5PbO2OH03dlXpOi,12414802,Evanthes,Traveller: mythical
ngVC8t78hVsNiWiH7VO5iksSwXJ,12427787,Epeios,Traveller: mythical
ngYF9w08kZlQ5ZlC0Zx81nvDzYM,12427790,Antimnestos,Traveller: mythical
ngWD3A68iWjOiXjq6WF4hltrxWK,12498536,Pseudo-Skymnos,Author
ngIP4I88uKPA0JvU8JR6uxfhjIc,12513148,Leukippos,Traveller: mythical
ngBI4F18nCyT4CoT1BK9mqyacBv,12528741,Menestheus,Traveller: mythical
ngKR5W08wKhC3LxS0K18uzhblLe,12528750,Cassiodorus,Author
ngGN4K68sGNY8HtS6GP40vdbhIU,12536646,Oenotrus,Traveller: mythical
ngGN2G08sGdY4Hte0Hf8rvdZhHa,12695120,Antiochus of Syrakuse,Author
ngDK4D38pFKVpEqx3Ec14saAeFR,12695143,Virgil,Author
ngLS2H58xLSD5Myj5ME36aikmMf,13019625,Sardus,Traveller: mythical
ngGN4G68sGtY9HtU6H740vdfhHa,13019646,Iolaos,Traveller: mythical
ngIP4I88uJfAsJvA8IB63xfhjIc,13019648,Aristaios,Traveller: mythical
ngKR5W08wKxCvLxe0KD82zhLlKe,13019650,Norax,Traveller: mythical
ngYF3C88kYvQ3ZlC8Y968nvRzZs,13038438,Triptolemos,Traveller: mythical
ngQX3I08cRnI4Rdg0RZ8bfnlrQE,13573530,Sardanapalus,Traveller: mythical
ngPW2L98bQGHzQcL9Qo79emkqPD,13657329,Sagaris,Traveller: mythical
ngVC0H98hVsN2WiN9VE72ksIwGJ,13961109,Typhon of Aegion,Traveller: historical
ngLS5X18xLyDyMyb1MU92aiMmMf,13961151,Hippys,Author
ngHO9b98tIeZrIuL9Hg7uweciIV,13961199,Hippokles of Euboean Kyme,Traveller: mythical
ngNU0F18zOEFaOaF1OW9xckeoOh,13961201,Megasthenes,Traveller: historical
ngYF1o28kYvQiZlG2Z304nvNzJM,13961212,Pseudo-Skylax,Author
ngEL1A88qGLWrFry8Fd68tbBfFS,13961218,Nestor,Traveller: mythical
ngHO2D18tIeZ3IuL1JQ92weUiIV,13961221,Daulios,Traveller: mythical
ngZG3D98lZwR2AmZ9AS7lowSaZt,13961239,Livy,Author
ngOV8A08aPbGbPbe0On80dljpPC,13962580,Mikythos,Traveller: historical
ngFM9z78rGWXpGsX7G85sucegFz,13962597,Artimedes,Traveller: mythical
ngXE8v98jXkPiYkv9ZG72muYyYr,14000789,Heraklides Lembus,Author
ngMT0E08yNDEwNzA0MF85bjBnMA,14000900,Timaeos of Tauromenion,Author
ngPW0H38bQmH3Qcn3PI1zemEqRD,14000903,Justin,Author
ngEL1A88qGLW8FrW8Ed61tbzfES,14000918,Xenokrites,Traveller: historical
ngFM1F98rFcX1GsT9F07pucUgFT,14000919,Lampon,Traveller: mythical
ngOV5A48aOFGbPbi4QH24dlLpOC,14235754,Manto,Traveller: mythical
ngPW5B58bPGHaQcn5RI3bemkqPD,14235755,Mopsos,Traveller: mythical
ngRY5D78dRoJeSeh7RK5bgomsRF,14235757,Teiresias,Traveller: mythical
ngSZ5E88eSZKdTfS8SB60hpPtUG,14235758,Euphorion,Author
ngUB6C08gVLM5VhM0WN82jrpvVI,14235760,Calchas,Traveller: mythical
ngUB8s68gWBM1VhQ6VN47jrNvUo,14235886,Amphiareus,Traveller: mythical
ngIP4I88uJvAvJvE8Jh68xfhjJc,14311248,Podaleirios,Traveller: mythical
ngFM4J58rFWX9GsF5F637ucwgGz,14321245,Proclus,Author
ngKR5W08wLBC0Lxi0Lj80zhPlKY,14321250,Menelaos,Traveller: mythical
ngBI4F18nCST6CoT1DK92qyUcCv,14321441,Agamemnon,Traveller: mythical
ngCJ1Y68oEJUmDpY6CL40rzxdNQ,14341116,Elais,Traveller: mythical
ngFM1F98rFsX9GsB9Ge7sucCgFT,14341119,Oino,Traveller: mythical
ngGN2G08sGdY0HtY0G18svdDhGU,14341120,Spermo,Traveller: mythical
ngRY8D38dTYJ4Seh3RA13gomsSF,14341683,Aineias,Traveller: mythical
ngSZ8q48eTfK8TfK4SL27hpFtUG,14341684,Alexander (Trojan),Traveller: mythical
ngTA8r58fUqL8Ugn5UM3eiqkuTn,14341685,Helen,Traveller: mythical
ngUB8M68gULMeVhI6WD47jrRvUq46,14341686,Iphigeneia,Traveller: mythical
ngVC3Z58hWsNhWiZ5WE3iksWwWp,14341735,Achilles,Traveller: mythical
ngZG3D98lZwRkAmx9Zy7kowWaZN,14341739,Diomedes,Traveller: mythical
ngEL4I48qELW7FrI4FN27tbvfEy,14341744,Leonteus,Traveller: mythical
ngFM4J58rFWX9GsJ5GO30ucagGT,14341745,Polypoites,Traveller: mythical
ngTA5B98fUqLdUgF9VC7eiqIuUH,14341959,Neoptolemos,Traveller: mythical
ngUB6C08gVLM5VhQ0U181jrDvVo,14341960,Kassandra,Traveller: mythical
ngWD6E28iXtO5XjK2YP05ltJxXK,14341962,Amphilochos,Traveller: mythical
ngHO7x38tJOZ5Iub3JA15weMiJV,14341973,Odysseus,Traveller: mythical
ngMT7c88yMzE3Nzg8Ml69bjhnOA,14341978,Jason,Traveller: mythical
ngNU7Z98zPEF3Oal9O07yckWoNh,14341979,Dardanos,Traveller: mythical
ngZG6H58lZmR7Amp5A638owyaZt,14342165,Acamas,Traveller: mythical
ngCJ6s88oEJU2Dps8DL6mrzxdDQ,14342168,Demophon,Traveller: mythical
ngDK6x98pDqV2EqD9DM74saAeDR,14342169,Elephenor,Traveller: mythical
ngFM7v18rGsXsGsR1G292ucegFz,14342171,Agapenor,Traveller: mythical
ngGN7w28sHdY3HtU2HP06vdLhHU,14342172,Agelaos - Achaian,Traveller: mythical
ngHO7x38tJOZ5Iuf3HA17weciHV,14342173,Aias the greater,Traveller: mythical
ngIP7y48uKZA5JvI4JB2uxfFjIW,14342174,Aias the lesser,Traveller: mythical
ngNU2J78zOEF1OaN7Om5yckWoNh,14343727,Antilochos,Traveller: mythical
ngUB3Y48gVhM6VhU4U524jrHvWI,14343734,Krethon,Traveller: mythical
ngPW8f18bPGH6QcT1RI9cemYqQj,14345281,Epeios,Traveller: mythical
ngSZ8q48eTfK7Tfq4UL29hpXtTG,14345284,Euryalos,Traveller: mythical
ngXE8v98jXuPkYkJ9X071musyYL,14345289,Machaon,Traveller: mythical
ngBI9v38nDSToCoT3BU13qyUcBv,14345293,Palamedes,Traveller: mythical
ngXE1n18jYEP3YkB1ZG92muUyIL,14345311,Periphetes,Traveller: mythical
ngCJ1Y68oEJUnDpO6CL46rzxdNQ,14345316,Sinon,Traveller: mythical
ngDK1D78pDKVpEqL7Dc51saEeDx,14345317,Sthenelos,Traveller: mythical
ngMT2I68yMTE9NzA6NV47bjNnNg,14389026,Horace,Author
ngOV2K88aPFGbPbi8PH63dljpPC,14391828,Ajax son of Teucer,Traveller: mythical
ngPW2L98bPcH9QcL9PY73emUqQD,14391829,Teucer,Traveller: mythical
ngSZ0m68eUZKcTfE6TB4ehpntDG,14392606,Aeneas,Traveller: mythical
ngVC0D98hViNgWit9Vu74ksSwGJ,14392609,Evander,Traveller: mythical
ngFM1F98rFsX0GsT9Ge71ucCgHT,14392619,Epeus,Traveller: mythical
ngNU2J78zOEF1Oah7Om5xckWoNh,14392627,Archias,Traveller: mythical
ngPW2L98bPcH9QcL9Po7aemQqPj,14392629,Perieres of Chalkis,Traveller: mythical
ngSZ3O28eSJKfTfE2SL0chpntUG,14392632,Krataemenes of Kyme,Traveller: mythical
ngWD3A68iYDOjXjI6XF4gltJxXK,14392636,Philoktetes,Traveller: mythical
ngSZ0K68eSpKfTfm6UL4fhprtSm,14774806,Aischines,Author
ngTA0r78fTKL1UgL7T85eiqGuEH,14774807,Xenophon,Author
ngVC0l98hVMN1WiR9XO70ksSwGJ,14774809,Aeneas Tacticus,Author
ngXE1B18jYkP5YkT1X29hmuMyIL,14774811,Demosthenes,Author
ngYF1G28kAPQ4Zlo2YH0invDzJM,14774812,Didymus Chalcenterus,Author
ngHO2D18tIuZ1IuL1JQ95weQiHb,14774821,Herodianus,Author
ngXE3B78jYkP2YkJ7YG50muoyYr,14786937,Orphic Argonautica,Author
ngIP7y48uJfA8Jvc4JR2sxfNjJW,14787174,Memnon of Herakleia,Author
ngKR5W08wLRCwLxC0K184zhPlMY,14790850,Lokros,Traveller: mythical
ngVC6D18hWCN1WiN1VO96ksSwWJ,14790861,Deukalion,Traveller: mythical
ngWD6E28iXtOiXjA2WP02ltLxYK,14790862,Pyrrha,Traveller: mythical
ngZG6H58lZQR9Amt5Zy3jowuaAN,14790865,Protogeneia,Traveller: mythical
ngFM7v18rHWXqGsX1FO9rucUgGT,14790871,Menoitios,Traveller: mythical
ngNU5Z38zOEFxOaN3Om14ckmoOh,14810253,Nagis,Traveller: mythical
ngWD6E28iXtOiXjE2XF06ltLxYK,14810262,Cilix,Traveller: mythical
ngGN4G68sHNY1Htw6IP40vdbhHU,14810346,Sophocles,Author
ngHO9b98tIOZtIuV9IA71weUiHV,14810699,Opous,Traveller: mythical
ngNU0F18zOUF3OaN1Om91ckeoNh,14810701,Patroclos,Traveller: mythical
ngUB0M88gULMfVhU8WN60jrRvUI,14810708,Ozolian Lokrians,Traveller: mythical
ngWD1q08iWDOhXjq0WP84ltBxHK,14810710,Lokrians,Traveller: mythical
ngYF1G28kAPQlZlG2Y30invNzJM,14810712,Epizephyrian Lokrians,Traveller: mythical
ngCJ1U68oDJUpDpC6CL41rzPdNQ,14810716,Amphissa,Traveller: mythical
ngDK1D78pDKV2Eqx7DW5qsaueEx,14810717,Thoas,Traveller: mythical
ngIP2E28uKZA3JvW2I30sxfFjIW,14810722,Abderos,Traveller: mythical
ngKR2G48wLhCwLxG4KD2vzhflMY,14810724,Oileus,Traveller: mythical
ngQX3I08cSXI4Rdo0R182fnprQk,14810730,Lokrian maidens,Traveller: mythical
ngSZ8q48eUZKfTfm4T525hpntTG,14821284,Sandocus,Traveller: mythical
ngVC8t78hXMN7Wip7W85fksmwWp,14821287,Ptolemy,Author
